group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Teste Primalidade,Teste Primalidade ,576,,,56482210.0,ns,7
Teste Primalidade,Teste Primalidade ,576,,,57599653.0,ns,7
Teste Primalidade,Teste Primalidade ,576,,,57347654.0,ns,7
Teste Primalidade,Teste Primalidade ,576,,,55772487.0,ns,7
Teste Primalidade,Teste Primalidade ,576,,,56544918.0,ns,7
Teste Primalidade,Teste Primalidade ,576,,,56990910.0,ns,7
Teste Primalidade,Teste Primalidade ,576,,,57599371.0,ns,7
Teste Primalidade,Teste Primalidade ,576,,,56592097.0,ns,7
Teste Primalidade,Teste Primalidade ,576,,,56688598.0,ns,7
Teste Primalidade,Teste Primalidade ,576,,,57380673.0,ns,7
Teste Primalidade,Teste Primalidade ,576,,,56599174.0,ns,7
Teste Primalidade,Teste Primalidade ,576,,,56260983.0,ns,7
Teste Primalidade,Teste Primalidade ,576,,,56285676.0,ns,7
Teste Primalidade,Teste Primalidade ,576,,,57426031.0,ns,7
Teste Primalidade,Teste Primalidade ,576,,,56111184.0,ns,7
Teste Primalidade,Teste Primalidade ,576,,,56483353.0,ns,7
Teste Primalidade,Teste Primalidade ,576,,,57419831.0,ns,7
Teste Primalidade,Teste Primalidade ,576,,,56978137.0,ns,7
Teste Primalidade,Teste Primalidade ,576,,,56041677.0,ns,7
Teste Primalidade,Teste Primalidade ,576,,,56323056.0,ns,7
Teste Primalidade,Teste Primalidade ,576,,,57146323.0,ns,7
Teste Primalidade,Teste Primalidade ,576,,,55828835.0,ns,7
Teste Primalidade,Teste Primalidade ,576,,,56812359.0,ns,7
Teste Primalidade,Teste Primalidade ,576,,,57380866.0,ns,7
Teste Primalidade,Teste Primalidade ,576,,,56985328.0,ns,7
Teste Primalidade,Teste Primalidade ,576,,,56583517.0,ns,7
Teste Primalidade,Teste Primalidade ,576,,,56552333.0,ns,7
Teste Primalidade,Teste Primalidade ,576,,,57079674.0,ns,7
Teste Primalidade,Teste Primalidade ,576,,,56541349.0,ns,7
