group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Teste Primalidade,Teste Primalidade ,256,,,52937137.0,ns,23
Teste Primalidade,Teste Primalidade ,256,,,52677667.0,ns,23
Teste Primalidade,Teste Primalidade ,256,,,51991974.0,ns,23
Teste Primalidade,Teste Primalidade ,256,,,52950191.0,ns,23
Teste Primalidade,Teste Primalidade ,256,,,52012591.0,ns,23
Teste Primalidade,Teste Primalidade ,256,,,51418260.0,ns,23
Teste Primalidade,Teste Primalidade ,256,,,52049022.0,ns,23
Teste Primalidade,Teste Primalidade ,256,,,52715084.0,ns,23
Teste Primalidade,Teste Primalidade ,256,,,51674659.0,ns,23
Teste Primalidade,Teste Primalidade ,256,,,51734021.0,ns,23
Teste Primalidade,Teste Primalidade ,256,,,51548131.0,ns,23
Teste Primalidade,Teste Primalidade ,256,,,52501232.0,ns,23
Teste Primalidade,Teste Primalidade ,256,,,51455728.0,ns,23
Teste Primalidade,Teste Primalidade ,256,,,51760385.0,ns,23
Teste Primalidade,Teste Primalidade ,256,,,51325825.0,ns,23
Teste Primalidade,Teste Primalidade ,256,,,52480647.0,ns,23
Teste Primalidade,Teste Primalidade ,256,,,52594725.0,ns,23
Teste Primalidade,Teste Primalidade ,256,,,51753600.0,ns,23
Teste Primalidade,Teste Primalidade ,256,,,52290188.0,ns,23
Teste Primalidade,Teste Primalidade ,256,,,52383811.0,ns,23
Teste Primalidade,Teste Primalidade ,256,,,52304254.0,ns,23
Teste Primalidade,Teste Primalidade ,256,,,51629931.0,ns,23
Teste Primalidade,Teste Primalidade ,256,,,51528903.0,ns,23
Teste Primalidade,Teste Primalidade ,256,,,52389696.0,ns,23
Teste Primalidade,Teste Primalidade ,256,,,51261205.0,ns,23
Teste Primalidade,Teste Primalidade ,256,,,52036605.0,ns,23
Teste Primalidade,Teste Primalidade ,256,,,52542555.0,ns,23
Teste Primalidade,Teste Primalidade ,256,,,52006452.0,ns,23
Teste Primalidade,Teste Primalidade ,256,,,51837572.0,ns,23
Teste Primalidade,Teste Primalidade ,256,,,51470014.0,ns,23
Teste Primalidade,Teste Primalidade ,256,,,52510293.0,ns,23
Teste Primalidade,Teste Primalidade ,256,,,51477414.0,ns,23
Teste Primalidade,Teste Primalidade ,256,,,52307154.0,ns,23
Teste Primalidade,Teste Primalidade ,256,,,51542621.0,ns,23
Teste Primalidade,Teste Primalidade ,256,,,52179291.0,ns,23
Teste Primalidade,Teste Primalidade ,256,,,52041177.0,ns,23
Teste Primalidade,Teste Primalidade ,256,,,52132549.0,ns,23
Teste Primalidade,Teste Primalidade ,256,,,51551228.0,ns,23
Teste Primalidade,Teste Primalidade ,256,,,52430086.0,ns,23
Teste Primalidade,Teste Primalidade ,256,,,51900561.0,ns,23
Teste Primalidade,Teste Primalidade ,256,,,51877545.0,ns,23
Teste Primalidade,Teste Primalidade ,256,,,52284075.0,ns,23
Teste Primalidade,Teste Primalidade ,256,,,51710520.0,ns,23
Teste Primalidade,Teste Primalidade ,256,,,52377442.0,ns,23
Teste Primalidade,Teste Primalidade ,256,,,52224599.0,ns,23
