group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Teste Primalidade,Teste Primalidade ,320,,,53231020.0,ns,17
Teste Primalidade,Teste Primalidade ,320,,,52275796.0,ns,17
Teste Primalidade,Teste Primalidade ,320,,,52786377.0,ns,17
Teste Primalidade,Teste Primalidade ,320,,,52169565.0,ns,17
Teste Primalidade,Teste Primalidade ,320,,,52297856.0,ns,17
Teste Primalidade,Teste Primalidade ,320,,,52213215.0,ns,17
Teste Primalidade,Teste Primalidade ,320,,,52689002.0,ns,17
Teste Primalidade,Teste Primalidade ,320,,,52519745.0,ns,17
Teste Primalidade,Teste Primalidade ,320,,,51332281.0,ns,17
Teste Primalidade,Teste Primalidade ,320,,,52225304.0,ns,17
Teste Primalidade,Teste Primalidade ,320,,,52596523.0,ns,17
Teste Primalidade,Teste Primalidade ,320,,,52083148.0,ns,17
Teste Primalidade,Teste Primalidade ,320,,,52643521.0,ns,17
Teste Primalidade,Teste Primalidade ,320,,,51940446.0,ns,17
Teste Primalidade,Teste Primalidade ,320,,,52446369.0,ns,17
Teste Primalidade,Teste Primalidade ,320,,,52446024.0,ns,17
Teste Primalidade,Teste Primalidade ,320,,,52533483.0,ns,17
Teste Primalidade,Teste Primalidade ,320,,,51712461.0,ns,17
Teste Primalidade,Teste Primalidade ,320,,,52531195.0,ns,17
Teste Primalidade,Teste Primalidade ,320,,,52025728.0,ns,17
Teste Primalidade,Teste Primalidade ,320,,,51933863.0,ns,17
Teste Primalidade,Teste Primalidade ,320,,,52605203.0,ns,17
Teste Primalidade,Teste Primalidade ,320,,,52226235.0,ns,17
Teste Primalidade,Teste Primalidade ,320,,,52542835.0,ns,17
Teste Primalidade,Teste Primalidade ,320,,,52227555.0,ns,17
Teste Primalidade,Teste Primalidade ,320,,,52951453.0,ns,17
Teste Primalidade,Teste Primalidade ,320,,,52255204.0,ns,17
Teste Primalidade,Teste Primalidade ,320,,,52403117.0,ns,17
Teste Primalidade,Teste Primalidade ,320,,,52190287.0,ns,17
Teste Primalidade,Teste Primalidade ,320,,,52594913.0,ns,17
Teste Primalidade,Teste Primalidade ,320,,,52100294.0,ns,17
Teste Primalidade,Teste Primalidade ,320,,,51692738.0,ns,17
Teste Primalidade,Teste Primalidade ,320,,,52028013.0,ns,17
Teste Primalidade,Teste Primalidade ,320,,,52928915.0,ns,17
Teste Primalidade,Teste Primalidade ,320,,,53146260.0,ns,17
Teste Primalidade,Teste Primalidade ,320,,,52331651.0,ns,17
Teste Primalidade,Teste Primalidade ,320,,,52123487.0,ns,17
Teste Primalidade,Teste Primalidade ,320,,,53091296.0,ns,17
Teste Primalidade,Teste Primalidade ,320,,,52786872.0,ns,17
Teste Primalidade,Teste Primalidade ,320,,,52311954.0,ns,17
Teste Primalidade,Teste Primalidade ,320,,,52420957.0,ns,17
Teste Primalidade,Teste Primalidade ,320,,,52899309.0,ns,17
Teste Primalidade,Teste Primalidade ,320,,,52672602.0,ns,17
Teste Primalidade,Teste Primalidade ,320,,,52852418.0,ns,17
Teste Primalidade,Teste Primalidade ,320,,,53839090.0,ns,17
Teste Primalidade,Teste Primalidade ,320,,,51957442.0,ns,17
Teste Primalidade,Teste Primalidade ,320,,,53206209.0,ns,17
Teste Primalidade,Teste Primalidade ,320,,,52603509.0,ns,17
Teste Primalidade,Teste Primalidade ,320,,,52735660.0,ns,17
Teste Primalidade,Teste Primalidade ,320,,,51899871.0,ns,17
Teste Primalidade,Teste Primalidade ,320,,,52409817.0,ns,17
Teste Primalidade,Teste Primalidade ,320,,,52508530.0,ns,17
Teste Primalidade,Teste Primalidade ,320,,,52955838.0,ns,17
Teste Primalidade,Teste Primalidade ,320,,,53788650.0,ns,17
Teste Primalidade,Teste Primalidade ,320,,,52956234.0,ns,17
Teste Primalidade,Teste Primalidade ,320,,,52996174.0,ns,17
Teste Primalidade,Teste Primalidade ,320,,,52338651.0,ns,17
Teste Primalidade,Teste Primalidade ,320,,,53210031.0,ns,17
Teste Primalidade,Teste Primalidade ,320,,,52529921.0,ns,17
Teste Primalidade,Teste Primalidade ,320,,,52848964.0,ns,17
Teste Primalidade,Teste Primalidade ,320,,,52740570.0,ns,17
Teste Primalidade,Teste Primalidade ,320,,,52279556.0,ns,17
Teste Primalidade,Teste Primalidade ,320,,,52116699.0,ns,17
Teste Primalidade,Teste Primalidade ,320,,,53305693.0,ns,17
Teste Primalidade,Teste Primalidade ,320,,,52566520.0,ns,17
Teste Primalidade,Teste Primalidade ,320,,,51902143.0,ns,17
Teste Primalidade,Teste Primalidade ,320,,,52398008.0,ns,17
Teste Primalidade,Teste Primalidade ,320,,,52589249.0,ns,17
Teste Primalidade,Teste Primalidade ,320,,,52725656.0,ns,17
Teste Primalidade,Teste Primalidade ,320,,,51940210.0,ns,17
Teste Primalidade,Teste Primalidade ,320,,,51858438.0,ns,17
Teste Primalidade,Teste Primalidade ,320,,,52154102.0,ns,17
Teste Primalidade,Teste Primalidade ,320,,,52624333.0,ns,17
Teste Primalidade,Teste Primalidade ,320,,,52196597.0,ns,17
Teste Primalidade,Teste Primalidade ,320,,,51991507.0,ns,17
Teste Primalidade,Teste Primalidade ,320,,,52940775.0,ns,17
