group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Teste Primalidade,Teste Primalidade ,104,,,125096615.0,ns,2656
Teste Primalidade,Teste Primalidade ,104,,,123256048.0,ns,2656
Teste Primalidade,Teste Primalidade ,104,,,125798171.0,ns,2656
Teste Primalidade,Teste Primalidade ,104,,,122820310.0,ns,2656
Teste Primalidade,Teste Primalidade ,104,,,127740454.0,ns,2656
Teste Primalidade,Teste Primalidade ,104,,,125225012.0,ns,2656
Teste Primalidade,Teste Primalidade ,104,,,125691750.0,ns,2656
Teste Primalidade,Teste Primalidade ,104,,,124124503.0,ns,2656
Teste Primalidade,Teste Primalidade ,104,,,130209374.0,ns,2656
Teste Primalidade,Teste Primalidade ,104,,,126697147.0,ns,2656
Teste Primalidade,Teste Primalidade ,104,,,125278147.0,ns,2656
Teste Primalidade,Teste Primalidade ,104,,,126179680.0,ns,2656
Teste Primalidade,Teste Primalidade ,104,,,128272267.0,ns,2656
Teste Primalidade,Teste Primalidade ,104,,,126525598.0,ns,2656
Teste Primalidade,Teste Primalidade ,104,,,126039724.0,ns,2656
Teste Primalidade,Teste Primalidade ,104,,,124402301.0,ns,2656
Teste Primalidade,Teste Primalidade ,104,,,124109655.0,ns,2656
Teste Primalidade,Teste Primalidade ,104,,,124244081.0,ns,2656
Teste Primalidade,Teste Primalidade ,104,,,125940562.0,ns,2656
Teste Primalidade,Teste Primalidade ,104,,,125232215.0,ns,2656
Teste Primalidade,Teste Primalidade ,104,,,126789867.0,ns,2656
Teste Primalidade,Teste Primalidade ,104,,,124713614.0,ns,2656
Teste Primalidade,Teste Primalidade ,104,,,125110299.0,ns,2656
Teste Primalidade,Teste Primalidade ,104,,,128051211.0,ns,2656
Teste Primalidade,Teste Primalidade ,104,,,124814482.0,ns,2656
Teste Primalidade,Teste Primalidade ,104,,,130078607.0,ns,2656
Teste Primalidade,Teste Primalidade ,104,,,129925564.0,ns,2656
Teste Primalidade,Teste Primalidade ,104,,,127948784.0,ns,2656
Teste Primalidade,Teste Primalidade ,104,,,123067577.0,ns,2656
Teste Primalidade,Teste Primalidade ,104,,,128311733.0,ns,2656
Teste Primalidade,Teste Primalidade ,104,,,125475779.0,ns,2656
Teste Primalidade,Teste Primalidade ,104,,,122603680.0,ns,2656
Teste Primalidade,Teste Primalidade ,104,,,128912534.0,ns,2656
Teste Primalidade,Teste Primalidade ,104,,,129666200.0,ns,2656
Teste Primalidade,Teste Primalidade ,104,,,126975681.0,ns,2656
Teste Primalidade,Teste Primalidade ,104,,,124841618.0,ns,2656
Teste Primalidade,Teste Primalidade ,104,,,124533546.0,ns,2656
Teste Primalidade,Teste Primalidade ,104,,,124896104.0,ns,2656
Teste Primalidade,Teste Primalidade ,104,,,128294814.0,ns,2656
Teste Primalidade,Teste Primalidade ,104,,,126558840.0,ns,2656
