group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Teste Primalidade,Teste Primalidade ,192,,,51739541.0,ns,32
Teste Primalidade,Teste Primalidade ,192,,,51631226.0,ns,32
Teste Primalidade,Teste Primalidade ,192,,,52677131.0,ns,32
Teste Primalidade,Teste Primalidade ,192,,,52687016.0,ns,32
Teste Primalidade,Teste Primalidade ,192,,,52692594.0,ns,32
Teste Primalidade,Teste Primalidade ,192,,,52742292.0,ns,32
Teste Primalidade,Teste Primalidade ,192,,,52368389.0,ns,32
Teste Primalidade,Teste Primalidade ,192,,,53915685.0,ns,32
Teste Primalidade,Teste Primalidade ,192,,,58405111.0,ns,32
Teste Primalidade,Teste Primalidade ,192,,,52978516.0,ns,32
Teste Primalidade,Teste Primalidade ,192,,,53331841.0,ns,32
Teste Primalidade,Teste Primalidade ,192,,,53400695.0,ns,32
Teste Primalidade,Teste Primalidade ,192,,,53191679.0,ns,32
Teste Primalidade,Teste Primalidade ,192,,,52832298.0,ns,32
Teste Primalidade,Teste Primalidade ,192,,,53331125.0,ns,32
Teste Primalidade,Teste Primalidade ,192,,,53178774.0,ns,32
Teste Primalidade,Teste Primalidade ,192,,,53067716.0,ns,32
Teste Primalidade,Teste Primalidade ,192,,,53953257.0,ns,32
Teste Primalidade,Teste Primalidade ,192,,,52859020.0,ns,32
Teste Primalidade,Teste Primalidade ,192,,,52890432.0,ns,32
Teste Primalidade,Teste Primalidade ,192,,,50944676.0,ns,32
Teste Primalidade,Teste Primalidade ,192,,,51100810.0,ns,32
Teste Primalidade,Teste Primalidade ,192,,,52596210.0,ns,32
Teste Primalidade,Teste Primalidade ,192,,,51643448.0,ns,32
Teste Primalidade,Teste Primalidade ,192,,,51935648.0,ns,32
Teste Primalidade,Teste Primalidade ,192,,,52086191.0,ns,32
Teste Primalidade,Teste Primalidade ,192,,,51361973.0,ns,32
Teste Primalidade,Teste Primalidade ,192,,,52084403.0,ns,32
Teste Primalidade,Teste Primalidade ,192,,,50528750.0,ns,32
Teste Primalidade,Teste Primalidade ,192,,,51115977.0,ns,32
Teste Primalidade,Teste Primalidade ,192,,,51715216.0,ns,32
Teste Primalidade,Teste Primalidade ,192,,,51008220.0,ns,32
Teste Primalidade,Teste Primalidade ,192,,,50802265.0,ns,32
Teste Primalidade,Teste Primalidade ,192,,,50957440.0,ns,32
Teste Primalidade,Teste Primalidade ,192,,,50546474.0,ns,32
Teste Primalidade,Teste Primalidade ,192,,,50255343.0,ns,32
Teste Primalidade,Teste Primalidade ,192,,,50510829.0,ns,32
