group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Teste Primalidade,Teste Primalidade ,704,,,61587372.0,ns,5
Teste Primalidade,Teste Primalidade ,704,,,60667378.0,ns,5
Teste Primalidade,Teste Primalidade ,704,,,60129756.0,ns,5
Teste Primalidade,Teste Primalidade ,704,,,60381804.0,ns,5
Teste Primalidade,Teste Primalidade ,704,,,60115144.0,ns,5
Teste Primalidade,Teste Primalidade ,704,,,60835697.0,ns,5
Teste Primalidade,Teste Primalidade ,704,,,60130095.0,ns,5
Teste Primalidade,Teste Primalidade ,704,,,59296744.0,ns,5
Teste Primalidade,Teste Primalidade ,704,,,60831638.0,ns,5
Teste Primalidade,Teste Primalidade ,704,,,59408143.0,ns,5
Teste Primalidade,Teste Primalidade ,704,,,61117996.0,ns,5
Teste Primalidade,Teste Primalidade ,704,,,60804207.0,ns,5
Teste Primalidade,Teste Primalidade ,704,,,60011114.0,ns,5
Teste Primalidade,Teste Primalidade ,704,,,59858075.0,ns,5
Teste Primalidade,Teste Primalidade ,704,,,60112503.0,ns,5
Teste Primalidade,Teste Primalidade ,704,,,60847127.0,ns,5
Teste Primalidade,Teste Primalidade ,704,,,61308627.0,ns,5
Teste Primalidade,Teste Primalidade ,704,,,60552863.0,ns,5
Teste Primalidade,Teste Primalidade ,704,,,60914304.0,ns,5
Teste Primalidade,Teste Primalidade ,704,,,59996552.0,ns,5
Teste Primalidade,Teste Primalidade ,704,,,59959621.0,ns,5
Teste Primalidade,Teste Primalidade ,704,,,60946018.0,ns,5
Teste Primalidade,Teste Primalidade ,704,,,60575304.0,ns,5
Teste Primalidade,Teste Primalidade ,704,,,60603883.0,ns,5
Teste Primalidade,Teste Primalidade ,704,,,60535776.0,ns,5
Teste Primalidade,Teste Primalidade ,704,,,59370547.0,ns,5
Teste Primalidade,Teste Primalidade ,704,,,60497403.0,ns,5
Teste Primalidade,Teste Primalidade ,704,,,60356288.0,ns,5
Teste Primalidade,Teste Primalidade ,704,,,61669045.0,ns,5
Teste Primalidade,Teste Primalidade ,704,,,60202494.0,ns,5
