group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Teste Primalidade,Teste Primalidade ,160,,,122097584.0,ns,1720
Teste Primalidade,Teste Primalidade ,160,,,120535011.0,ns,1720
Teste Primalidade,Teste Primalidade ,160,,,120672384.0,ns,1720
Teste Primalidade,Teste Primalidade ,160,,,120679459.0,ns,1720
Teste Primalidade,Teste Primalidade ,160,,,121552009.0,ns,1720
Teste Primalidade,Teste Primalidade ,160,,,121406864.0,ns,1720
Teste Primalidade,Teste Primalidade ,160,,,119826480.0,ns,1720
Teste Primalidade,Teste Primalidade ,160,,,121258726.0,ns,1720
Teste Primalidade,Teste Primalidade ,160,,,120370165.0,ns,1720
Teste Primalidade,Teste Primalidade ,160,,,122208367.0,ns,1720
Teste Primalidade,Teste Primalidade ,160,,,122280529.0,ns,1720
Teste Primalidade,Teste Primalidade ,160,,,124191791.0,ns,1720
Teste Primalidade,Teste Primalidade ,160,,,122478745.0,ns,1720
Teste Primalidade,Teste Primalidade ,160,,,126197057.0,ns,1720
Teste Primalidade,Teste Primalidade ,160,,,124154796.0,ns,1720
Teste Primalidade,Teste Primalidade ,160,,,122865058.0,ns,1720
Teste Primalidade,Teste Primalidade ,160,,,123003504.0,ns,1720
Teste Primalidade,Teste Primalidade ,160,,,123502554.0,ns,1720
Teste Primalidade,Teste Primalidade ,160,,,122486439.0,ns,1720
Teste Primalidade,Teste Primalidade ,160,,,123743039.0,ns,1720
Teste Primalidade,Teste Primalidade ,160,,,121511596.0,ns,1720
Teste Primalidade,Teste Primalidade ,160,,,120776613.0,ns,1720
Teste Primalidade,Teste Primalidade ,160,,,121295953.0,ns,1720
Teste Primalidade,Teste Primalidade ,160,,,120980976.0,ns,1720
Teste Primalidade,Teste Primalidade ,160,,,120043421.0,ns,1720
Teste Primalidade,Teste Primalidade ,160,,,120202622.0,ns,1720
Teste Primalidade,Teste Primalidade ,160,,,120113516.0,ns,1720
Teste Primalidade,Teste Primalidade ,160,,,120412260.0,ns,1720
Teste Primalidade,Teste Primalidade ,160,,,120543516.0,ns,1720
Teste Primalidade,Teste Primalidade ,160,,,120601290.0,ns,1720
Teste Primalidade,Teste Primalidade ,160,,,120652453.0,ns,1720
Teste Primalidade,Teste Primalidade ,160,,,121175637.0,ns,1720
Teste Primalidade,Teste Primalidade ,160,,,122625231.0,ns,1720
Teste Primalidade,Teste Primalidade ,160,,,121312861.0,ns,1720
Teste Primalidade,Teste Primalidade ,160,,,122352488.0,ns,1720
Teste Primalidade,Teste Primalidade ,160,,,120643747.0,ns,1720
Teste Primalidade,Teste Primalidade ,160,,,127386274.0,ns,1720
Teste Primalidade,Teste Primalidade ,160,,,126202660.0,ns,1720
Teste Primalidade,Teste Primalidade ,160,,,126174381.0,ns,1720
Teste Primalidade,Teste Primalidade ,160,,,124576973.0,ns,1720
