group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Teste Primalidade,Teste Primalidade ,640,,,60333540.0,ns,6
Teste Primalidade,Teste Primalidade ,640,,,59917029.0,ns,6
Teste Primalidade,Teste Primalidade ,640,,,59234864.0,ns,6
Teste Primalidade,Teste Primalidade ,640,,,59395170.0,ns,6
Teste Primalidade,Teste Primalidade ,640,,,58854824.0,ns,6
Teste Primalidade,Teste Primalidade ,640,,,60160343.0,ns,6
Teste Primalidade,Teste Primalidade ,640,,,58500008.0,ns,6
Teste Primalidade,Teste Primalidade ,640,,,59733917.0,ns,6
Teste Primalidade,Teste Primalidade ,640,,,60362664.0,ns,6
Teste Primalidade,Teste Primalidade ,640,,,60424933.0,ns,6
Teste Primalidade,Teste Primalidade ,640,,,59238218.0,ns,6
Teste Primalidade,Teste Primalidade ,640,,,62523396.0,ns,6
Teste Primalidade,Teste Primalidade ,640,,,59471659.0,ns,6
Teste Primalidade,Teste Primalidade ,640,,,58190163.0,ns,6
Teste Primalidade,Teste Primalidade ,640,,,59166341.0,ns,6
Teste Primalidade,Teste Primalidade ,640,,,59837389.0,ns,6
Teste Primalidade,Teste Primalidade ,640,,,58593305.0,ns,6
Teste Primalidade,Teste Primalidade ,640,,,59766010.0,ns,6
Teste Primalidade,Teste Primalidade ,640,,,60021260.0,ns,6
Teste Primalidade,Teste Primalidade ,640,,,58660645.0,ns,6
Teste Primalidade,Teste Primalidade ,640,,,58984771.0,ns,6
Teste Primalidade,Teste Primalidade ,640,,,59469345.0,ns,6
Teste Primalidade,Teste Primalidade ,640,,,59125505.0,ns,6
Teste Primalidade,Teste Primalidade ,640,,,59501031.0,ns,6
Teste Primalidade,Teste Primalidade ,640,,,58762800.0,ns,6
Teste Primalidade,Teste Primalidade ,640,,,60409620.0,ns,6
Teste Primalidade,Teste Primalidade ,640,,,59221518.0,ns,6
Teste Primalidade,Teste Primalidade ,640,,,59551155.0,ns,6
Teste Primalidade,Teste Primalidade ,640,,,59889310.0,ns,6
Teste Primalidade,Teste Primalidade ,640,,,59828865.0,ns,6
Teste Primalidade,Teste Primalidade ,640,,,58858599.0,ns,6
Teste Primalidade,Teste Primalidade ,640,,,60414543.0,ns,6
Teste Primalidade,Teste Primalidade ,640,,,59607810.0,ns,6
Teste Primalidade,Teste Primalidade ,640,,,58968699.0,ns,6
Teste Primalidade,Teste Primalidade ,640,,,58984094.0,ns,6
Teste Primalidade,Teste Primalidade ,640,,,59708259.0,ns,6
Teste Primalidade,Teste Primalidade ,640,,,58728994.0,ns,6
Teste Primalidade,Teste Primalidade ,640,,,59566634.0,ns,6
Teste Primalidade,Teste Primalidade ,640,,,60363878.0,ns,6
Teste Primalidade,Teste Primalidade ,640,,,59113228.0,ns,6
Teste Primalidade,Teste Primalidade ,640,,,58846938.0,ns,6
Teste Primalidade,Teste Primalidade ,640,,,59047707.0,ns,6
Teste Primalidade,Teste Primalidade ,640,,,59714995.0,ns,6
Teste Primalidade,Teste Primalidade ,640,,,58989014.0,ns,6
Teste Primalidade,Teste Primalidade ,640,,,58485185.0,ns,6
Teste Primalidade,Teste Primalidade ,640,,,59997016.0,ns,6
Teste Primalidade,Teste Primalidade ,640,,,59873474.0,ns,6
Teste Primalidade,Teste Primalidade ,640,,,59059183.0,ns,6
Teste Primalidade,Teste Primalidade ,640,,,59527759.0,ns,6
Teste Primalidade,Teste Primalidade ,640,,,58827691.0,ns,6
Teste Primalidade,Teste Primalidade ,640,,,59249577.0,ns,6
Teste Primalidade,Teste Primalidade ,640,,,59208821.0,ns,6
Teste Primalidade,Teste Primalidade ,640,,,59690044.0,ns,6
Teste Primalidade,Teste Primalidade ,640,,,59125301.0,ns,6
Teste Primalidade,Teste Primalidade ,640,,,59223629.0,ns,6
Teste Primalidade,Teste Primalidade ,640,,,59452974.0,ns,6
Teste Primalidade,Teste Primalidade ,640,,,59436180.0,ns,6
Teste Primalidade,Teste Primalidade ,640,,,59808425.0,ns,6
Teste Primalidade,Teste Primalidade ,640,,,59674951.0,ns,6
Teste Primalidade,Teste Primalidade ,640,,,58857806.0,ns,6
Teste Primalidade,Teste Primalidade ,640,,,59537937.0,ns,6
Teste Primalidade,Teste Primalidade ,640,,,58484313.0,ns,6
Teste Primalidade,Teste Primalidade ,640,,,59281688.0,ns,6
Teste Primalidade,Teste Primalidade ,640,,,58797978.0,ns,6
Teste Primalidade,Teste Primalidade ,640,,,59164256.0,ns,6
Teste Primalidade,Teste Primalidade ,640,,,60026202.0,ns,6
Teste Primalidade,Teste Primalidade ,640,,,59375794.0,ns,6
Teste Primalidade,Teste Primalidade ,640,,,59196877.0,ns,6
Teste Primalidade,Teste Primalidade ,640,,,59206731.0,ns,6
Teste Primalidade,Teste Primalidade ,640,,,59754462.0,ns,6
Teste Primalidade,Teste Primalidade ,640,,,58984395.0,ns,6
Teste Primalidade,Teste Primalidade ,640,,,58728904.0,ns,6
Teste Primalidade,Teste Primalidade ,640,,,60027866.0,ns,6
Teste Primalidade,Teste Primalidade ,640,,,58873447.0,ns,6
Teste Primalidade,Teste Primalidade ,640,,,58849712.0,ns,6
Teste Primalidade,Teste Primalidade ,640,,,59904740.0,ns,6
Teste Primalidade,Teste Primalidade ,640,,,58348127.0,ns,6
Teste Primalidade,Teste Primalidade ,640,,,59102759.0,ns,6
Teste Primalidade,Teste Primalidade ,640,,,58961401.0,ns,6
Teste Primalidade,Teste Primalidade ,640,,,59690485.0,ns,6
Teste Primalidade,Teste Primalidade ,640,,,58656938.0,ns,6
Teste Primalidade,Teste Primalidade ,640,,,59104235.0,ns,6
Teste Primalidade,Teste Primalidade ,640,,,60200143.0,ns,6
Teste Primalidade,Teste Primalidade ,640,,,59461470.0,ns,6
Teste Primalidade,Teste Primalidade ,640,,,59009160.0,ns,6
Teste Primalidade,Teste Primalidade ,640,,,59097351.0,ns,6
Teste Primalidade,Teste Primalidade ,640,,,59830258.0,ns,6
Teste Primalidade,Teste Primalidade ,640,,,59259588.0,ns,6
Teste Primalidade,Teste Primalidade ,640,,,59145712.0,ns,6
Teste Primalidade,Teste Primalidade ,640,,,59011426.0,ns,6
Teste Primalidade,Teste Primalidade ,640,,,58825927.0,ns,6
Teste Primalidade,Teste Primalidade ,640,,,58946327.0,ns,6
Teste Primalidade,Teste Primalidade ,640,,,59640267.0,ns,6
Teste Primalidade,Teste Primalidade ,640,,,59338486.0,ns,6
Teste Primalidade,Teste Primalidade ,640,,,58958399.0,ns,6
Teste Primalidade,Teste Primalidade ,640,,,59025151.0,ns,6
Teste Primalidade,Teste Primalidade ,640,,,59549269.0,ns,6
Teste Primalidade,Teste Primalidade ,640,,,59051332.0,ns,6
Teste Primalidade,Teste Primalidade ,640,,,58517395.0,ns,6
Teste Primalidade,Teste Primalidade ,640,,,59584628.0,ns,6
