group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Teste Primalidade,Teste Primalidade ,80,,,124733632.0,ns,194
Teste Primalidade,Teste Primalidade ,80,,,124200860.0,ns,194
Teste Primalidade,Teste Primalidade ,80,,,123693435.0,ns,194
Teste Primalidade,Teste Primalidade ,80,,,125324675.0,ns,194
Teste Primalidade,Teste Primalidade ,80,,,125309207.0,ns,194
Teste Primalidade,Teste Primalidade ,80,,,124569683.0,ns,194
Teste Primalidade,Teste Primalidade ,80,,,124360208.0,ns,194
Teste Primalidade,Teste Primalidade ,80,,,123889473.0,ns,194
Teste Primalidade,Teste Primalidade ,80,,,124813719.0,ns,194
Teste Primalidade,Teste Primalidade ,80,,,124761528.0,ns,194
Teste Primalidade,Teste Primalidade ,80,,,123572917.0,ns,194
Teste Primalidade,Teste Primalidade ,80,,,125168965.0,ns,194
Teste Primalidade,Teste Primalidade ,80,,,124140549.0,ns,194
Teste Primalidade,Teste Primalidade ,80,,,125306856.0,ns,194
Teste Primalidade,Teste Primalidade ,80,,,125294635.0,ns,194
Teste Primalidade,Teste Primalidade ,80,,,125224479.0,ns,194
Teste Primalidade,Teste Primalidade ,80,,,125006060.0,ns,194
Teste Primalidade,Teste Primalidade ,80,,,125480222.0,ns,194
Teste Primalidade,Teste Primalidade ,80,,,127574690.0,ns,194
Teste Primalidade,Teste Primalidade ,80,,,125029456.0,ns,194
Teste Primalidade,Teste Primalidade ,80,,,124485697.0,ns,194
Teste Primalidade,Teste Primalidade ,80,,,124631974.0,ns,194
Teste Primalidade,Teste Primalidade ,80,,,124088455.0,ns,194
Teste Primalidade,Teste Primalidade ,80,,,124936678.0,ns,194
Teste Primalidade,Teste Primalidade ,80,,,125095911.0,ns,194
Teste Primalidade,Teste Primalidade ,80,,,126146886.0,ns,194
Teste Primalidade,Teste Primalidade ,80,,,132662807.0,ns,194
Teste Primalidade,Teste Primalidade ,80,,,124668398.0,ns,194
Teste Primalidade,Teste Primalidade ,80,,,131968520.0,ns,194
Teste Primalidade,Teste Primalidade ,80,,,125024161.0,ns,194
Teste Primalidade,Teste Primalidade ,80,,,124459561.0,ns,194
Teste Primalidade,Teste Primalidade ,80,,,125231301.0,ns,194
Teste Primalidade,Teste Primalidade ,80,,,124534151.0,ns,194
Teste Primalidade,Teste Primalidade ,80,,,124489263.0,ns,194
Teste Primalidade,Teste Primalidade ,80,,,125030592.0,ns,194
Teste Primalidade,Teste Primalidade ,80,,,124933938.0,ns,194
Teste Primalidade,Teste Primalidade ,80,,,124107398.0,ns,194
Teste Primalidade,Teste Primalidade ,80,,,125167958.0,ns,194
Teste Primalidade,Teste Primalidade ,80,,,124452539.0,ns,194
Teste Primalidade,Teste Primalidade ,80,,,124611733.0,ns,194
