group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Teste Primalidade,Teste Primalidade ,88,,,124791751.0,ns,3676
Teste Primalidade,Teste Primalidade ,88,,,123708950.0,ns,3676
Teste Primalidade,Teste Primalidade ,88,,,124932858.0,ns,3676
Teste Primalidade,Teste Primalidade ,88,,,124043080.0,ns,3676
Teste Primalidade,Teste Primalidade ,88,,,123616051.0,ns,3676
Teste Primalidade,Teste Primalidade ,88,,,123551886.0,ns,3676
Teste Primalidade,Teste Primalidade ,88,,,124519407.0,ns,3676
Teste Primalidade,Teste Primalidade ,88,,,123525786.0,ns,3676
Teste Primalidade,Teste Primalidade ,88,,,124732114.0,ns,3676
Teste Primalidade,Teste Primalidade ,88,,,126181168.0,ns,3676
Teste Primalidade,Teste Primalidade ,88,,,123278777.0,ns,3676
Teste Primalidade,Teste Primalidade ,88,,,124047749.0,ns,3676
Teste Primalidade,Teste Primalidade ,88,,,124510398.0,ns,3676
Teste Primalidade,Teste Primalidade ,88,,,126452498.0,ns,3676
Teste Primalidade,Teste Primalidade ,88,,,124304867.0,ns,3676
Teste Primalidade,Teste Primalidade ,88,,,126586300.0,ns,3676
Teste Primalidade,Teste Primalidade ,88,,,124655456.0,ns,3676
Teste Primalidade,Teste Primalidade ,88,,,124390057.0,ns,3676
Teste Primalidade,Teste Primalidade ,88,,,124924516.0,ns,3676
Teste Primalidade,Teste Primalidade ,88,,,125598764.0,ns,3676
Teste Primalidade,Teste Primalidade ,88,,,124347940.0,ns,3676
Teste Primalidade,Teste Primalidade ,88,,,127414782.0,ns,3676
Teste Primalidade,Teste Primalidade ,88,,,124903171.0,ns,3676
Teste Primalidade,Teste Primalidade ,88,,,125496775.0,ns,3676
Teste Primalidade,Teste Primalidade ,88,,,125372698.0,ns,3676
Teste Primalidade,Teste Primalidade ,88,,,122782456.0,ns,3676
Teste Primalidade,Teste Primalidade ,88,,,124860102.0,ns,3676
Teste Primalidade,Teste Primalidade ,88,,,124129503.0,ns,3676
Teste Primalidade,Teste Primalidade ,88,,,123264276.0,ns,3676
Teste Primalidade,Teste Primalidade ,88,,,123603353.0,ns,3676
Teste Primalidade,Teste Primalidade ,88,,,124773957.0,ns,3676
Teste Primalidade,Teste Primalidade ,88,,,124106752.0,ns,3676
Teste Primalidade,Teste Primalidade ,88,,,124192482.0,ns,3676
Teste Primalidade,Teste Primalidade ,88,,,122209192.0,ns,3676
Teste Primalidade,Teste Primalidade ,88,,,124082060.0,ns,3676
Teste Primalidade,Teste Primalidade ,88,,,123943117.0,ns,3676
Teste Primalidade,Teste Primalidade ,88,,,123018729.0,ns,3676
Teste Primalidade,Teste Primalidade ,88,,,123796714.0,ns,3676
Teste Primalidade,Teste Primalidade ,88,,,123301352.0,ns,3676
Teste Primalidade,Teste Primalidade ,88,,,123925076.0,ns,3676
