group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Teste Primalidade,Teste Primalidade ,136,,,125617370.0,ns,2401
Teste Primalidade,Teste Primalidade ,136,,,128720457.0,ns,2401
Teste Primalidade,Teste Primalidade ,136,,,127610342.0,ns,2401
Teste Primalidade,Teste Primalidade ,136,,,128125175.0,ns,2401
Teste Primalidade,Teste Primalidade ,136,,,128068961.0,ns,2401
Teste Primalidade,Teste Primalidade ,136,,,128358290.0,ns,2401
Teste Primalidade,Teste Primalidade ,136,,,131404148.0,ns,2401
Teste Primalidade,Teste Primalidade ,136,,,128373036.0,ns,2401
Teste Primalidade,Teste Primalidade ,136,,,130661114.0,ns,2401
Teste Primalidade,Teste Primalidade ,136,,,126606725.0,ns,2401
Teste Primalidade,Teste Primalidade ,136,,,125254247.0,ns,2401
Teste Primalidade,Teste Primalidade ,136,,,125600013.0,ns,2401
Teste Primalidade,Teste Primalidade ,136,,,129901985.0,ns,2401
Teste Primalidade,Teste Primalidade ,136,,,129494823.0,ns,2401
Teste Primalidade,Teste Primalidade ,136,,,126113365.0,ns,2401
Teste Primalidade,Teste Primalidade ,136,,,128292013.0,ns,2401
Teste Primalidade,Teste Primalidade ,136,,,128700656.0,ns,2401
Teste Primalidade,Teste Primalidade ,136,,,132258146.0,ns,2401
Teste Primalidade,Teste Primalidade ,136,,,126547751.0,ns,2401
Teste Primalidade,Teste Primalidade ,136,,,127385351.0,ns,2401
Teste Primalidade,Teste Primalidade ,136,,,125078887.0,ns,2401
Teste Primalidade,Teste Primalidade ,136,,,126729903.0,ns,2401
Teste Primalidade,Teste Primalidade ,136,,,126645381.0,ns,2401
Teste Primalidade,Teste Primalidade ,136,,,127005590.0,ns,2401
Teste Primalidade,Teste Primalidade ,136,,,129642922.0,ns,2401
Teste Primalidade,Teste Primalidade ,136,,,126938133.0,ns,2401
Teste Primalidade,Teste Primalidade ,136,,,125365382.0,ns,2401
Teste Primalidade,Teste Primalidade ,136,,,129532082.0,ns,2401
Teste Primalidade,Teste Primalidade ,136,,,127209738.0,ns,2401
Teste Primalidade,Teste Primalidade ,136,,,126094152.0,ns,2401
Teste Primalidade,Teste Primalidade ,136,,,128414946.0,ns,2401
Teste Primalidade,Teste Primalidade ,136,,,128027992.0,ns,2401
Teste Primalidade,Teste Primalidade ,136,,,127250353.0,ns,2401
Teste Primalidade,Teste Primalidade ,136,,,124670247.0,ns,2401
Teste Primalidade,Teste Primalidade ,136,,,124038715.0,ns,2401
Teste Primalidade,Teste Primalidade ,136,,,124490839.0,ns,2401
Teste Primalidade,Teste Primalidade ,136,,,124547418.0,ns,2401
Teste Primalidade,Teste Primalidade ,136,,,123497959.0,ns,2401
Teste Primalidade,Teste Primalidade ,136,,,122909214.0,ns,2401
Teste Primalidade,Teste Primalidade ,136,,,125155208.0,ns,2401
