group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Teste Primalidade,Teste Primalidade ,832,,,50644107.0,ns,3
Teste Primalidade,Teste Primalidade ,832,,,49556341.0,ns,3
Teste Primalidade,Teste Primalidade ,832,,,50129668.0,ns,3
Teste Primalidade,Teste Primalidade ,832,,,50026438.0,ns,3
Teste Primalidade,Teste Primalidade ,832,,,50008960.0,ns,3
Teste Primalidade,Teste Primalidade ,832,,,50270486.0,ns,3
Teste Primalidade,Teste Primalidade ,832,,,50303367.0,ns,3
Teste Primalidade,Teste Primalidade ,832,,,49684128.0,ns,3
Teste Primalidade,Teste Primalidade ,832,,,49197976.0,ns,3
Teste Primalidade,Teste Primalidade ,832,,,49527904.0,ns,3
Teste Primalidade,Teste Primalidade ,832,,,50485945.0,ns,3
Teste Primalidade,Teste Primalidade ,832,,,49814281.0,ns,3
Teste Primalidade,Teste Primalidade ,832,,,49651449.0,ns,3
Teste Primalidade,Teste Primalidade ,832,,,49653005.0,ns,3
Teste Primalidade,Teste Primalidade ,832,,,49827106.0,ns,3
Teste Primalidade,Teste Primalidade ,832,,,49353137.0,ns,3
Teste Primalidade,Teste Primalidade ,832,,,49273033.0,ns,3
Teste Primalidade,Teste Primalidade ,832,,,49549545.0,ns,3
Teste Primalidade,Teste Primalidade ,832,,,50401052.0,ns,3
Teste Primalidade,Teste Primalidade ,832,,,49849186.0,ns,3
Teste Primalidade,Teste Primalidade ,832,,,50061943.0,ns,3
Teste Primalidade,Teste Primalidade ,832,,,49539895.0,ns,3
Teste Primalidade,Teste Primalidade ,832,,,49693868.0,ns,3
Teste Primalidade,Teste Primalidade ,832,,,50172146.0,ns,3
Teste Primalidade,Teste Primalidade ,832,,,50065922.0,ns,3
Teste Primalidade,Teste Primalidade ,832,,,49568195.0,ns,3
Teste Primalidade,Teste Primalidade ,832,,,50002507.0,ns,3
Teste Primalidade,Teste Primalidade ,832,,,49621976.0,ns,3
Teste Primalidade,Teste Primalidade ,832,,,49777632.0,ns,3
Teste Primalidade,Teste Primalidade ,832,,,50128864.0,ns,3
Teste Primalidade,Teste Primalidade ,832,,,51221315.0,ns,3
Teste Primalidade,Teste Primalidade ,832,,,49883075.0,ns,3
Teste Primalidade,Teste Primalidade ,832,,,51667468.0,ns,3
Teste Primalidade,Teste Primalidade ,832,,,49635024.0,ns,3
Teste Primalidade,Teste Primalidade ,832,,,50536012.0,ns,3
Teste Primalidade,Teste Primalidade ,832,,,50173412.0,ns,3
Teste Primalidade,Teste Primalidade ,832,,,51132785.0,ns,3
Teste Primalidade,Teste Primalidade ,832,,,51087523.0,ns,3
Teste Primalidade,Teste Primalidade ,832,,,51254742.0,ns,3
Teste Primalidade,Teste Primalidade ,832,,,49684988.0,ns,3
Teste Primalidade,Teste Primalidade ,832,,,50167757.0,ns,3
Teste Primalidade,Teste Primalidade ,832,,,50777193.0,ns,3
Teste Primalidade,Teste Primalidade ,832,,,50626210.0,ns,3
Teste Primalidade,Teste Primalidade ,832,,,51395824.0,ns,3
Teste Primalidade,Teste Primalidade ,832,,,49658743.0,ns,3
Teste Primalidade,Teste Primalidade ,832,,,50087831.0,ns,3
Teste Primalidade,Teste Primalidade ,832,,,49800173.0,ns,3
Teste Primalidade,Teste Primalidade ,832,,,49788996.0,ns,3
Teste Primalidade,Teste Primalidade ,832,,,50628803.0,ns,3
Teste Primalidade,Teste Primalidade ,832,,,49401571.0,ns,3
Teste Primalidade,Teste Primalidade ,832,,,50609490.0,ns,3
Teste Primalidade,Teste Primalidade ,832,,,50143563.0,ns,3
Teste Primalidade,Teste Primalidade ,832,,,49867939.0,ns,3
Teste Primalidade,Teste Primalidade ,832,,,50198678.0,ns,3
Teste Primalidade,Teste Primalidade ,832,,,50451230.0,ns,3
Teste Primalidade,Teste Primalidade ,832,,,49445066.0,ns,3
Teste Primalidade,Teste Primalidade ,832,,,49842683.0,ns,3
Teste Primalidade,Teste Primalidade ,832,,,50035316.0,ns,3
Teste Primalidade,Teste Primalidade ,832,,,50143767.0,ns,3
Teste Primalidade,Teste Primalidade ,832,,,49401660.0,ns,3
Teste Primalidade,Teste Primalidade ,832,,,50035211.0,ns,3
Teste Primalidade,Teste Primalidade ,832,,,49916963.0,ns,3
Teste Primalidade,Teste Primalidade ,832,,,50660644.0,ns,3
Teste Primalidade,Teste Primalidade ,832,,,49393216.0,ns,3
Teste Primalidade,Teste Primalidade ,832,,,49445332.0,ns,3
Teste Primalidade,Teste Primalidade ,832,,,50357089.0,ns,3
Teste Primalidade,Teste Primalidade ,832,,,50398439.0,ns,3
Teste Primalidade,Teste Primalidade ,832,,,48980567.0,ns,3
Teste Primalidade,Teste Primalidade ,832,,,50936429.0,ns,3
Teste Primalidade,Teste Primalidade ,832,,,49770221.0,ns,3
Teste Primalidade,Teste Primalidade ,832,,,50662006.0,ns,3
Teste Primalidade,Teste Primalidade ,832,,,50047768.0,ns,3
Teste Primalidade,Teste Primalidade ,832,,,49806097.0,ns,3
Teste Primalidade,Teste Primalidade ,832,,,49583730.0,ns,3
Teste Primalidade,Teste Primalidade ,832,,,49690226.0,ns,3
Teste Primalidade,Teste Primalidade ,832,,,50182776.0,ns,3
Teste Primalidade,Teste Primalidade ,832,,,49859131.0,ns,3
Teste Primalidade,Teste Primalidade ,832,,,49261156.0,ns,3
Teste Primalidade,Teste Primalidade ,832,,,50253091.0,ns,3
Teste Primalidade,Teste Primalidade ,832,,,49907139.0,ns,3
Teste Primalidade,Teste Primalidade ,832,,,49929859.0,ns,3
Teste Primalidade,Teste Primalidade ,832,,,50027083.0,ns,3
Teste Primalidade,Teste Primalidade ,832,,,50266365.0,ns,3
Teste Primalidade,Teste Primalidade ,832,,,50529708.0,ns,3
Teste Primalidade,Teste Primalidade ,832,,,50086622.0,ns,3
Teste Primalidade,Teste Primalidade ,832,,,50737649.0,ns,3
Teste Primalidade,Teste Primalidade ,832,,,50719685.0,ns,3
Teste Primalidade,Teste Primalidade ,832,,,50147026.0,ns,3
Teste Primalidade,Teste Primalidade ,832,,,49910875.0,ns,3
Teste Primalidade,Teste Primalidade ,832,,,50133022.0,ns,3
Teste Primalidade,Teste Primalidade ,832,,,50155588.0,ns,3
Teste Primalidade,Teste Primalidade ,832,,,50692396.0,ns,3
Teste Primalidade,Teste Primalidade ,832,,,49519619.0,ns,3
Teste Primalidade,Teste Primalidade ,832,,,49542731.0,ns,3
Teste Primalidade,Teste Primalidade ,832,,,50582363.0,ns,3
Teste Primalidade,Teste Primalidade ,832,,,50836388.0,ns,3
Teste Primalidade,Teste Primalidade ,832,,,50264283.0,ns,3
Teste Primalidade,Teste Primalidade ,832,,,49775659.0,ns,3
Teste Primalidade,Teste Primalidade ,832,,,50448763.0,ns,3
Teste Primalidade,Teste Primalidade ,832,,,49515469.0,ns,3
