group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Teste Primalidade,Teste Primalidade ,64,,,49140321.0,ns,142
Teste Primalidade,Teste Primalidade ,64,,,49682699.0,ns,142
Teste Primalidade,Teste Primalidade ,64,,,50067408.0,ns,142
Teste Primalidade,Teste Primalidade ,64,,,49596292.0,ns,142
Teste Primalidade,Teste Primalidade ,64,,,49796800.0,ns,142
Teste Primalidade,Teste Primalidade ,64,,,50495875.0,ns,142
Teste Primalidade,Teste Primalidade ,64,,,49605364.0,ns,142
Teste Primalidade,Teste Primalidade ,64,,,49641771.0,ns,142
Teste Primalidade,Teste Primalidade ,64,,,49384106.0,ns,142
Teste Primalidade,Teste Primalidade ,64,,,49277765.0,ns,142
Teste Primalidade,Teste Primalidade ,64,,,49370541.0,ns,142
Teste Primalidade,Teste Primalidade ,64,,,49421194.0,ns,142
Teste Primalidade,Teste Primalidade ,64,,,48448641.0,ns,142
Teste Primalidade,Teste Primalidade ,64,,,48857887.0,ns,142
Teste Primalidade,Teste Primalidade ,64,,,48892773.0,ns,142
Teste Primalidade,Teste Primalidade ,64,,,48512409.0,ns,142
Teste Primalidade,Teste Primalidade ,64,,,48989785.0,ns,142
Teste Primalidade,Teste Primalidade ,64,,,49497991.0,ns,142
Teste Primalidade,Teste Primalidade ,64,,,49843361.0,ns,142
Teste Primalidade,Teste Primalidade ,64,,,49070419.0,ns,142
Teste Primalidade,Teste Primalidade ,64,,,49370185.0,ns,142
Teste Primalidade,Teste Primalidade ,64,,,49854208.0,ns,142
Teste Primalidade,Teste Primalidade ,64,,,49107786.0,ns,142
Teste Primalidade,Teste Primalidade ,64,,,49003435.0,ns,142
Teste Primalidade,Teste Primalidade ,64,,,49557871.0,ns,142
Teste Primalidade,Teste Primalidade ,64,,,49920166.0,ns,142
Teste Primalidade,Teste Primalidade ,64,,,50137285.0,ns,142
Teste Primalidade,Teste Primalidade ,64,,,49770055.0,ns,142
Teste Primalidade,Teste Primalidade ,64,,,49412419.0,ns,142
Teste Primalidade,Teste Primalidade ,64,,,50201038.0,ns,142
Teste Primalidade,Teste Primalidade ,64,,,49484428.0,ns,142
Teste Primalidade,Teste Primalidade ,64,,,48799797.0,ns,142
Teste Primalidade,Teste Primalidade ,64,,,48751830.0,ns,142
Teste Primalidade,Teste Primalidade ,64,,,49013011.0,ns,142
Teste Primalidade,Teste Primalidade ,64,,,49064370.0,ns,142
Teste Primalidade,Teste Primalidade ,64,,,49505074.0,ns,142
Teste Primalidade,Teste Primalidade ,64,,,49555197.0,ns,142
Teste Primalidade,Teste Primalidade ,64,,,49347134.0,ns,142
Teste Primalidade,Teste Primalidade ,64,,,49888972.0,ns,142
Teste Primalidade,Teste Primalidade ,64,,,49539208.0,ns,142
Teste Primalidade,Teste Primalidade ,64,,,49959089.0,ns,142
Teste Primalidade,Teste Primalidade ,64,,,49131482.0,ns,142
Teste Primalidade,Teste Primalidade ,64,,,49887282.0,ns,142
Teste Primalidade,Teste Primalidade ,64,,,49695839.0,ns,142
Teste Primalidade,Teste Primalidade ,64,,,48962996.0,ns,142
Teste Primalidade,Teste Primalidade ,64,,,49163135.0,ns,142
Teste Primalidade,Teste Primalidade ,64,,,50089011.0,ns,142
Teste Primalidade,Teste Primalidade ,64,,,48568928.0,ns,142
Teste Primalidade,Teste Primalidade ,64,,,48519406.0,ns,142
Teste Primalidade,Teste Primalidade ,64,,,48549929.0,ns,142
Teste Primalidade,Teste Primalidade ,64,,,50124350.0,ns,142
Teste Primalidade,Teste Primalidade ,64,,,50041258.0,ns,142
Teste Primalidade,Teste Primalidade ,64,,,50037797.0,ns,142
Teste Primalidade,Teste Primalidade ,64,,,48473834.0,ns,142
Teste Primalidade,Teste Primalidade ,64,,,49726563.0,ns,142
Teste Primalidade,Teste Primalidade ,64,,,48905616.0,ns,142
Teste Primalidade,Teste Primalidade ,64,,,50063494.0,ns,142
Teste Primalidade,Teste Primalidade ,64,,,48703676.0,ns,142
Teste Primalidade,Teste Primalidade ,64,,,49824363.0,ns,142
Teste Primalidade,Teste Primalidade ,64,,,49177971.0,ns,142
Teste Primalidade,Teste Primalidade ,64,,,48869664.0,ns,142
Teste Primalidade,Teste Primalidade ,64,,,49104452.0,ns,142
Teste Primalidade,Teste Primalidade ,64,,,49830950.0,ns,142
Teste Primalidade,Teste Primalidade ,64,,,49104866.0,ns,142
Teste Primalidade,Teste Primalidade ,64,,,48798758.0,ns,142
Teste Primalidade,Teste Primalidade ,64,,,48866760.0,ns,142
Teste Primalidade,Teste Primalidade ,64,,,50650988.0,ns,142
Teste Primalidade,Teste Primalidade ,64,,,49472132.0,ns,142
Teste Primalidade,Teste Primalidade ,64,,,49171606.0,ns,142
Teste Primalidade,Teste Primalidade ,64,,,48085111.0,ns,142
Teste Primalidade,Teste Primalidade ,64,,,49380391.0,ns,142
Teste Primalidade,Teste Primalidade ,64,,,48941472.0,ns,142
Teste Primalidade,Teste Primalidade ,64,,,48617137.0,ns,142
Teste Primalidade,Teste Primalidade ,64,,,48932760.0,ns,142
Teste Primalidade,Teste Primalidade ,64,,,49203421.0,ns,142
Teste Primalidade,Teste Primalidade ,64,,,49218046.0,ns,142
Teste Primalidade,Teste Primalidade ,64,,,48842618.0,ns,142
Teste Primalidade,Teste Primalidade ,64,,,49083492.0,ns,142
Teste Primalidade,Teste Primalidade ,64,,,49911262.0,ns,142
Teste Primalidade,Teste Primalidade ,64,,,49237737.0,ns,142
Teste Primalidade,Teste Primalidade ,64,,,49129603.0,ns,142
Teste Primalidade,Teste Primalidade ,64,,,49014023.0,ns,142
Teste Primalidade,Teste Primalidade ,64,,,49810017.0,ns,142
Teste Primalidade,Teste Primalidade ,64,,,48385027.0,ns,142
Teste Primalidade,Teste Primalidade ,64,,,48630156.0,ns,142
Teste Primalidade,Teste Primalidade ,64,,,49628564.0,ns,142
Teste Primalidade,Teste Primalidade ,64,,,49309111.0,ns,142
Teste Primalidade,Teste Primalidade ,64,,,49086794.0,ns,142
Teste Primalidade,Teste Primalidade ,64,,,49583568.0,ns,142
Teste Primalidade,Teste Primalidade ,64,,,48733540.0,ns,142
Teste Primalidade,Teste Primalidade ,64,,,49146288.0,ns,142
Teste Primalidade,Teste Primalidade ,64,,,48631809.0,ns,142
Teste Primalidade,Teste Primalidade ,64,,,49468380.0,ns,142
Teste Primalidade,Teste Primalidade ,64,,,49049043.0,ns,142
Teste Primalidade,Teste Primalidade ,64,,,49402707.0,ns,142
Teste Primalidade,Teste Primalidade ,64,,,49716477.0,ns,142
Teste Primalidade,Teste Primalidade ,64,,,49061185.0,ns,142
Teste Primalidade,Teste Primalidade ,64,,,48918315.0,ns,142
Teste Primalidade,Teste Primalidade ,64,,,49327888.0,ns,142
Teste Primalidade,Teste Primalidade ,64,,,48930601.0,ns,142
