group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Teste Primalidade,Teste Primalidade ,96,,,120725052.0,ns,2783
Teste Primalidade,Teste Primalidade ,96,,,123813351.0,ns,2783
Teste Primalidade,Teste Primalidade ,96,,,124160126.0,ns,2783
Teste Primalidade,Teste Primalidade ,96,,,127887926.0,ns,2783
Teste Primalidade,Teste Primalidade ,96,,,126363262.0,ns,2783
Teste Primalidade,Teste Primalidade ,96,,,121602384.0,ns,2783
Teste Primalidade,Teste Primalidade ,96,,,125145744.0,ns,2783
Teste Primalidade,Teste Primalidade ,96,,,124025545.0,ns,2783
Teste Primalidade,Teste Primalidade ,96,,,125654826.0,ns,2783
Teste Primalidade,Teste Primalidade ,96,,,127065183.0,ns,2783
Teste Primalidade,Teste Primalidade ,96,,,124666101.0,ns,2783
Teste Primalidade,Teste Primalidade ,96,,,123744753.0,ns,2783
Teste Primalidade,Teste Primalidade ,96,,,122744751.0,ns,2783
Teste Primalidade,Teste Primalidade ,96,,,123265924.0,ns,2783
Teste Primalidade,Teste Primalidade ,96,,,125660808.0,ns,2783
Teste Primalidade,Teste Primalidade ,96,,,125785868.0,ns,2783
Teste Primalidade,Teste Primalidade ,96,,,126350574.0,ns,2783
Teste Primalidade,Teste Primalidade ,96,,,123631825.0,ns,2783
Teste Primalidade,Teste Primalidade ,96,,,122367471.0,ns,2783
Teste Primalidade,Teste Primalidade ,96,,,122948927.0,ns,2783
Teste Primalidade,Teste Primalidade ,96,,,124304621.0,ns,2783
Teste Primalidade,Teste Primalidade ,96,,,122858222.0,ns,2783
Teste Primalidade,Teste Primalidade ,96,,,126825334.0,ns,2783
Teste Primalidade,Teste Primalidade ,96,,,121755867.0,ns,2783
Teste Primalidade,Teste Primalidade ,96,,,120774610.0,ns,2783
Teste Primalidade,Teste Primalidade ,96,,,122428756.0,ns,2783
Teste Primalidade,Teste Primalidade ,96,,,124691445.0,ns,2783
Teste Primalidade,Teste Primalidade ,96,,,123272699.0,ns,2783
Teste Primalidade,Teste Primalidade ,96,,,123048458.0,ns,2783
Teste Primalidade,Teste Primalidade ,96,,,124053577.0,ns,2783
Teste Primalidade,Teste Primalidade ,96,,,123836187.0,ns,2783
Teste Primalidade,Teste Primalidade ,96,,,125157849.0,ns,2783
Teste Primalidade,Teste Primalidade ,96,,,124091750.0,ns,2783
Teste Primalidade,Teste Primalidade ,96,,,125267492.0,ns,2783
Teste Primalidade,Teste Primalidade ,96,,,123925958.0,ns,2783
Teste Primalidade,Teste Primalidade ,96,,,125480417.0,ns,2783
Teste Primalidade,Teste Primalidade ,96,,,123872243.0,ns,2783
Teste Primalidade,Teste Primalidade ,96,,,123458248.0,ns,2783
Teste Primalidade,Teste Primalidade ,96,,,122847743.0,ns,2783
Teste Primalidade,Teste Primalidade ,96,,,123489804.0,ns,2783
